,data,name,r,n,thread,part,time
1752,varden,priority,1514.3791,10000000,60,density computation,28.9632
1755,varden,priority,2271.56871,10000000,60,density computation,35.20713333333333
1758,varden,priority,3407.353085,10000000,60,density computation,44.037200000000006
1761,varden,priority,5111.0296288,10000000,60,density computation,50.705066666666674
1818,varden,static,199.39,10000000,60,density computation,4.7723933333333335
1821,varden,static,299.06,10000000,60,density computation,6.784843333333334
1824,varden,static,448.62,10000000,60,density computation,10.562133333333334
1827,varden,static,673.01,10000000,60,density computation,15.6556
1830,varden,static,1009.582,10000000,60,density computation,22.03956666666667
1833,varden,static,1514.3791,10000000,60,density computation,27.954333333333334
1836,varden,static,2271.56871,10000000,60,density computation,34.90803333333333
1839,varden,static,3407.353085,10000000,60,density computation,43.6903
1842,varden,static,5111.0296288,10000000,60,density computation,50.894733333333335
